iter	Passed	Remaining
396	272273	591869
397	272972	591211
398	273789	590809
399	274405	589971
400	275149	589410
401	275872	588802
402	276556	588111
403	277345	587642
404	278061	587019
405	278695	586221
406	279360	585489
407	280040	584789
408	280735	584122
409	281417	583426
410	282189	582917
411	282959	582402
412	283666	581756
413	284471	581310
414	285179	580666
415	285884	580016
416	286590	579366
417	287380	578886
418	288153	578370
419	288839	577679
420	289682	577301
421	290346	576564
422	291130	576066
423	291932	575601
424	292616	574904
425	293350	574306
426	294045	573630
427	294733	572939
428	295494	572392
429	296222	571778
430	296977	571217
431	297664	570524
432	298448	570015
433	299176	569400
434	299986	568939
435	300806	568495
436	301560	567927
437	302333	567392
438	303115	566873
439	303782	566140
440	304625	565732
441	305264	564946
442	306012	564362
443	306727	563715
444	307488	563152
445	308233	562560
446	308952	561920
447	309762	561444
448	310533	560896
449	311303	560346
450	312020	559700
451	312815	559193
452	313602	558668
453	314302	557989
454	315068	557428
455	315923	557022
456	316627	556349
457	317307	555634
458	318014	554966
459	318784	554407
460	319515	553781
461	320302	553250
462	321038	552629
463	321659	551812
464	322316	551056
465	323086	550494
466	323807	549848
467	324597	549318
468	325367	548754
469	326117	548154
470	326859	547541
471	327610	546943
472	328327	546286
473	329101	545725
474	329812	545058
475	330610	544534
476	331277	543794
477	332028	543192
478	332814	542647
479	333619	542132
480	334407	541587
481	335171	541002
482	335938	540422
483	336692	539820
484	337443	539214
485	338106	538466
486	338786	537745
487	339526	537119
488	340214	536411
489	340969	535808
490	341700	535168
491	342393	534467
492	343171	533900
493	343978	533375
494	344802	532876
495	345563	532278
496	346341	531707
497	347085	531083
498	347771	530369
499	348430	529614
500	349162	528970
501	349857	528270
502	350601	527644
503	351407	527111
504	352129	526451
505	352852	525791
506	353621	525201
507	354346	524544
508	355053	523861
509	355831	523282
510	356684	522811
511	357423	522173
512	358175	521553
513	358897	520890
514	359682	520317
515	360492	519779
516	361243	519156
517	362038	518595
518	362806	517995
519	363665	517524
520	364394	516867
521	365133	516222
522	365838	515531
523	366652	514992
524	367426	514397
525	368127	513698
526	368956	513178
527	369816	512700
528	370547	512041
529	371327	511451
530	372002	510715
531	372773	510111
532	373508	509457
533	374273	508843
534	375004	508183
535	375751	507544
536	376511	506923
537	377365	506426
538	378108	505782
539	378822	505096
540	379562	504446
541	380293	503783
542	381059	503166
543	381797	502512
544	382612	501959
545	383347	501300
546	384092	500654
547	384861	500038
548	385588	499368
549	386341	498731
550	387101	498103
551	387796	497390
552	388491	496678
553	389195	495977
554	389938	495327
555	390687	494683
556	391419	494017
557	392157	493359
558	392906	492714
559	393543	491929
560	394313	491310
561	395161	490787
562	395795	489998
563	396544	489352
564	397318	488736
565	398225	488283
566	398888	487530
567	399537	486760
568	400291	486118
569	401075	485512
570	401765	484792
571	402497	484123
572	403281	483515
573	403975	482799
574	404750	482180
575	405433	481452
576	406242	480872
577	407046	480287
578	407817	479661
579	408537	478975
580	409347	478394
581	410137	477789
582	410825	477064
583	411582	476420
584	412276	475703
585	413035	475060
586	413773	474394
587	414580	473806
588	415381	473209
589	416157	472585
590	416854	471871
591	417599	471210
592	418300	470500
593	419053	469847
594	419705	469082
595	420383	468346
596	421181	467744
597	421998	467162
598	422729	466484
599	423459	465804
600	424197	465135
601	424970	464502
602	425719	463843
603	426466	463182
604	427151	462452
605	427834	461722
606	428565	461043
607	429314	460383
608	430016	459672
609	430759	459006
610	431525	458363
611	432227	457653
612	432980	456996
613	433751	456357
614	434539	455736
615	435372	455161
616	436126	454504
617	436805	453768
618	437581	453133
619	438344	452484
620	439105	451833
621	439888	451204
622	440559	450459
623	441345	449832
624	442086	449160
625	442879	448539
626	443616	447862
627	444361	447191
628	445133	446549
629	445914	445914
630	446626	445211
631	447389	444558
632	448120	443872
633	448826	443162
634	449599	442519
635	450367	441870
636	451137	441221
637	451857	440525
638	452533	439786
639	453254	439090
640	454027	438444
641	454770	437769
642	455514	437095
643	456245	436408
644	457015	435758
645	457806	435128
646	458635	434533
647	459429	433905
648	460211	433265
649	460989	432621
650	461781	431988
651	462517	431304
652	463264	430630
653	464012	429956
654	464693	429220
655	465382	428492
