iter	MAE
328	0.1519514996
329	0.151941019
330	0.1519150124
331	0.1519061241
332	0.1518806491
333	0.1518647603
334	0.1518323571
335	0.1517920888
336	0.1517660209
337	0.1517542937
338	0.1517363016
339	0.151717798
340	0.1517113942
341	0.151685609
342	0.1516740053
343	0.1516539378
344	0.1516398353
345	0.1516051765
346	0.1515953293
347	0.1515639511
348	0.1515385869
349	0.1515110913
350	0.151500031
351	0.1514714653
352	0.1514517939
353	0.1514225633
354	0.1514097885
355	0.1513958821
356	0.1513867842
357	0.1513688423
358	0.1513576346
359	0.1513307422
360	0.1513126431
361	0.1512723597
362	0.1512517083
363	0.151216119
364	0.1511645092
365	0.1511449947
366	0.1511174377
367	0.1510996591
368	0.1510763493
369	0.1510503543
370	0.1510149597
371	0.1509923042
372	0.1509849083
373	0.1509791669
374	0.150962654
375	0.1509383453
376	0.1509075331
377	0.1508689216
378	0.1508494714
379	0.1508336143
380	0.1508061813
381	0.1507774455
382	0.1507482138
383	0.1507195918
384	0.1507012437
385	0.1506825661
386	0.1506744438
387	0.1506506928
388	0.1505941091
389	0.1505798005
390	0.1505650281
391	0.150558382
392	0.1505387366
393	0.1505185572
394	0.1504916015
395	0.1504673452
396	0.1504442266
397	0.1504366074
398	0.1504216216
399	0.150398622
400	0.1503768203
401	0.150356881
402	0.1503258896
403	0.1503192718
404	0.1503001198
405	0.1502644467
406	0.1502296566
407	0.1502120011
408	0.1502055833
409	0.1501850613
410	0.1501693075
411	0.1501464479
412	0.1501304767
413	0.1501239291
414	0.150104249
415	0.1500878943
416	0.1500628996
417	0.1500323452
418	0.1500162399
419	0.1499902502
420	0.1499504475
421	0.1499356559
422	0.1499190011
423	0.1499107362
424	0.1498915981
425	0.1498637768
426	0.1498248303
427	0.1498010901
428	0.1497810819
429	0.1497557654
430	0.1497352599
431	0.1497244875
432	0.14971537
433	0.1496886826
434	0.1496727221
435	0.1496652648
436	0.1496491951
437	0.1496372771
438	0.1496181347
439	0.1495986762
440	0.1495935087
441	0.1495747551
442	0.1495335068
443	0.1495254415
444	0.149519055
445	0.1495094761
446	0.1494873644
447	0.1494806794
448	0.1494666565
449	0.149448107
450	0.149438337
451	0.1494272893
452	0.1494055894
453	0.1493652223
454	0.1493444127
455	0.1493274483
456	0.1493151067
457	0.149271281
458	0.1492453643
459	0.149222846
460	0.1492176148
461	0.1492124574
462	0.1491988032
463	0.149167758
464	0.1491496194
465	0.1491329813
466	0.1491285496
467	0.1491234397
468	0.1490984493
469	0.1490656295
470	0.1490482759
471	0.1490306015
472	0.1490112859
473	0.1489965976
474	0.1489827296
475	0.1489664143
476	0.1489448603
477	0.1489190865
478	0.1488782472
479	0.1488482132
480	0.1488329053
481	0.1488200196
482	0.1488026023
483	0.148794777
484	0.1487774601
485	0.1487354596
486	0.1487228719
487	0.1487104853
488	0.1486909505
489	0.1486833162
490	0.1486684669
491	0.1486556191
492	0.1486481408
493	0.1486238815
494	0.1486068958
495	0.1485876449
496	0.1485769246
497	0.1485634454
498	0.1485427038
499	0.1485191224
500	0.1485021062
501	0.1484936619
502	0.1484664066
503	0.1484512951
504	0.1484292531
505	0.1484172747
506	0.1484088661
507	0.1483905468
508	0.148387031
509	0.1483729196
510	0.1483677469
511	0.1483441073
512	0.1483382982
513	0.148322219
514	0.1483138537
515	0.1482824751
516	0.1482778178
517	0.1482561979
518	0.1482263665
519	0.1481928807
520	0.1481667352
521	0.1481410443
522	0.1481331164
523	0.1481189485
524	0.1480859036
525	0.1480643421
526	0.1480422715
527	0.1480290591
528	0.1480164501
529	0.1480115914
530	0.1479832099
531	0.1479529524
532	0.1479389741
533	0.1479185749
534	0.1478955243
535	0.147890864
536	0.1478861528
537	0.1478569093
538	0.1478365412
539	0.1478195372
540	0.1478090463
541	0.1478000343
542	0.1477863513
543	0.1477712694
544	0.1477671701
545	0.1477437246
546	0.1477101086
547	0.1477047598
548	0.1476962244
549	0.1476603125
550	0.1476477335
551	0.1476348116
552	0.1476302583
553	0.1475999736
554	0.1475838805
555	0.1475793518
556	0.1475595794
557	0.1475458234
558	0.1475271901
559	0.1475142815
560	0.1474998856
561	0.1474964393
562	0.1474829468
563	0.1474691796
564	0.1474571547
565	0.1474440761
566	0.1474126773
567	0.147402592
568	0.1473861481
569	0.1473824796
570	0.1473609466
571	0.1473535019
572	0.1473267637
573	0.147322817
574	0.1473045536
575	0.1472880991
576	0.1472811182
577	0.1472574118
578	0.1472489268
579	0.1472379128
580	0.1472204737
581	0.1472116186
582	0.1472049118
583	0.1471870734
584	0.1471687739
585	0.1471592715
586	0.1471414532
587	0.1471363337
588	0.1471109159
589	0.1470988581
590	0.147082609
591	0.1470643382
592	0.1470451286
593	0.1470334788
594	0.1470250873
595	0.1470213029
596	0.1470168893
597	0.146990817
598	0.1469814815
599	0.1469693343
600	0.146953878
601	0.1469399961
602	0.1469162739
603	0.1468917808
604	0.1468751917
605	0.1468579592
606	0.1468540801
607	0.1468429705
608	0.1468276449
609	0.1468219434
610	0.1468145078
611	0.1467859005
612	0.1467826952
613	0.1467789672
614	0.146771942
615	0.1467519138
616	0.1467355341
617	0.1467275793
618	0.146716856
619	0.146697343
620	0.1466946935
621	0.146679788
622	0.1466667413
623	0.1466542509
624	0.1466386241
625	0.1466168477
626	0.1466129001
627	0.1465968029
628	0.1465888682
629	0.1465813318
630	0.1465773637
631	0.1465730402
632	0.1465690728
633	0.1465603572
634	0.1465436026
635	0.1465275632
636	0.1465197175
637	0.1465121756
638	0.1465047313
639	0.1464896551
640	0.1464842082
641	0.14646715
642	0.1464467641
643	0.1464414263
644	0.1464358544
645	0.146421791
646	0.1464193118
647	0.1463951337
648	0.1463806866
649	0.1463669001
650	0.1463637477
651	0.146359096
652	0.1463521744
653	0.1463226003
654	0.1463159125
655	0.1463086843
656	0.1462940417
657	0.1462832335
658	0.1462656456
659	0.1462581808
660	0.1462477202
661	0.1462292758
662	0.146217525
663	0.1462030953
664	0.1461906064
665	0.1461848542
666	0.1461536498
667	0.1461499954
668	0.1461315587
669	0.1461235388
670	0.1461165909
671	0.1461016552
672	0.1460947294
673	0.146091724
674	0.1460838622
675	0.1460803286
676	0.146078058
677	0.1460593259
678	0.1460447235
679	0.1460401961
680	0.146014616
681	0.1460080903
682	0.1460050767
683	0.1459829534
684	0.145973373
685	0.1459546908
686	0.1459429958
687	0.145925434
688	0.145915574
689	0.1459089589
690	0.145895854
691	0.1458838761
692	0.1458772556
693	0.1458699129
694	0.1458669696
695	0.1458487769
696	0.1458254094
697	0.1458204209
698	0.1458136271
699	0.1458067999
700	0.1457990674
701	0.1457786358
702	0.1457536419
703	0.1457503267
704	0.1457443882
705	0.1457293455
706	0.1457222813
707	0.1457076506
708	0.1456997969
709	0.1456700463
710	0.1456670792
711	0.1456527788
712	0.1456388907
713	0.1456354569
714	0.1456260494
715	0.1456160951
716	0.14560486
717	0.1455983726
718	0.1455952758
719	0.1455801025
720	0.1455731138
721	0.1455695242
722	0.1455550523
723	0.1455512795
724	0.1455487609
725	0.1455432515
726	0.1455358367
727	0.1455190925
728	0.1455170776
729	0.1455030846
730	0.1454956319
731	0.1454921691
732	0.1454858927
733	0.1454835279
734	0.1454635545
735	0.1454592948
736	0.1454410289
737	0.1454340112
738	0.1454167962
739	0.1454116686
740	0.1454010906
741	0.1453988094
742	0.1453887105
743	0.1453690778
744	0.1453588019
745	0.1453450714
746	0.1453372484
747	0.1453181602
748	0.145303554
749	0.1452937805
750	0.1452830579
751	0.1452736006
752	0.1452694113
753	0.1452615539
754	0.1452572468
755	0.1452523977
756	0.1452396613
757	0.1452355152
758	0.1452189091
759	0.1452092015
760	0.1452020465
761	0.1451949291
762	0.1451784978
763	0.1451638069
764	0.1451455658
765	0.1451410495
766	0.1451301104
767	0.1451138683
768	0.1451068622
769	0.1450952082
770	0.1450836144
771	0.1450744248
772	0.1450718981
773	0.1450647784
774	0.1450600003
775	0.1450578313
776	0.1450547722
777	0.1450462037
778	0.1450331892
779	0.1450214534
780	0.1450127169
781	0.1450102519
782	0.1450047415
783	0.1449951882
784	0.144991862
785	0.144986099
786	0.1449766012
787	0.144958001
788	0.144953025
789	0.1449463221
790	0.1449354286
791	0.1449260228
792	0.1449223717
793	0.1449099492
794	0.144897843
795	0.1448951073
796	0.1448752876
797	0.1448662047
798	0.1448489953
799	0.1448413125
800	0.1448290225
801	0.1448219772
802	0.1448107189
803	0.1448076592
804	0.1448004924
805	0.1447874113
806	0.1447718474
807	0.1447608451
808	0.1447509488
809	0.1447427906
810	0.1447190107
811	0.1447003214
812	0.1446884624
813	0.1446854651
814	0.1446765854
815	0.1446595655
816	0.1446485667
817	0.1446351762
818	0.1446111569
819	0.1445863131
820	0.1445819708
821	0.1445724683
822	0.1445699117
823	0.1445557102
824	0.144549311
825	0.1445448096
826	0.1445395806
827	0.1445379938
828	0.1445268248
829	0.1445082899
830	0.1444869241
831	0.1444768587
832	0.1444726956
833	0.1444646117
834	0.1444622132
835	0.144453292
836	0.1444462194
837	0.1444434398
838	0.1444357873
839	0.14441745
840	0.1444094545
841	0.1443962081
842	0.1443935577
843	0.1443853629
844	0.1443825862
845	0.1443789675
846	0.1443584706
847	0.1443521787
848	0.1443382108
849	0.1443335056
850	0.144331125
851	0.1443232089
852	0.1443205699
853	0.1443096992
854	0.1442913408
855	0.1442760118
856	0.1442568627
857	0.1442548421
858	0.1442406987
859	0.144236838
860	0.1442203176
861	0.1442059515
862	0.1441932152
863	0.1441791413
864	0.1441593864
865	0.1441539271
866	0.1441398112
867	0.1441251417
868	0.1441122117
869	0.1440980973
870	0.1440852191
871	0.1440665465
872	0.1440504125
873	0.1440400682
874	0.1440324131
875	0.1440177333
876	0.1440096163
877	0.1440074277
878	0.1440016499
879	0.1439978585
880	0.1439843475
881	0.1439793666
882	0.1439663731
883	0.1439637158
884	0.1439575685
885	0.1439519015
886	0.1439490622
887	0.1439428987
888	0.1439399878
889	0.1439347699
890	0.1439247471
891	0.143920457
892	0.1439145375
893	0.1438969389
894	0.1438863018
895	0.1438772098
896	0.1438694532
897	0.1438566123
898	0.1438528135
899	0.1438373374
900	0.1438305188
901	0.1438227035
902	0.1438174676
903	0.1438086646
904	0.1438030777
905	0.1437999216
906	0.1437958767
907	0.1437908106
908	0.1437809123
909	0.143772862
910	0.1437691312
911	0.1437619453
912	0.1437484554
913	0.1437363367
914	0.1437203603
915	0.1437151399
916	0.1437111882
917	0.1437019137
918	0.1436988657
919	0.1436955152
920	0.1436773932
921	0.1436700485
922	0.1436638478
923	0.1436604774
924	0.1436471134
925	0.1436411837
926	0.1436344035
927	0.1436185825
928	0.1436129657
929	0.1436018059
930	0.143599211
931	0.1435957708
932	0.1435880587
933	0.1435786233
934	0.1435739902
935	0.1435678823
936	0.1435640782
937	0.1435561022
938	0.1435487649
939	0.1435369078
940	0.1435321055
941	0.1435273747
942	0.1435232446
943	0.1435120126
944	0.1435063819
945	0.1434920191
946	0.1434834028
947	0.1434708778
948	0.1434658277
949	0.143459235
950	0.1434513579
951	0.1434465783
952	0.1434325046
953	0.1434298209
954	0.1434167717
955	0.1434040827
956	0.1433808583
957	0.1433697546
958	0.1433670539
959	0.14335736
960	0.1433548762
961	0.1433519454
962	0.1433482141
963	0.1433401004
964	0.1433331623
965	0.1433302327
966	0.1433264656
967	0.1433171986
968	0.1433125133
969	0.1433024406
970	0.1432950278
971	0.1432858272
972	0.143281255
973	0.1432753908
974	0.1432710822
975	0.1432670218
976	0.1432592028
977	0.1432566411
978	0.1432469621
979	0.1432394653
980	0.1432342275
981	0.1432309306
982	0.1432223304
983	0.1432209534
984	0.1432140489
985	0.1432040613
986	0.1431928809
987	0.1431786442
988	0.1431657606
989	0.143161973
990	0.1431573459
991	0.1431551923
992	0.1431470657
993	0.1431329707
994	0.1431130306
995	0.1431021302
996	0.1430992667
997	0.1430769571
998	0.1430704136
999	0.1430631016
1000	0.1430586414
1001	0.1430572174
1002	0.1430417619
1003	0.14304019
1004	0.1430383823
1005	0.1430336706
1006	0.1430225834
1007	0.1430126629
1008	0.1430063341
1009	0.1430025439
1010	0.1429913609
1011	0.1429809464
1012	0.1429785834
1013	0.1429641273
1014	0.1429592228
1015	0.14294863
1016	0.1429415956
1017	0.1429364529
1018	0.142929312
1019	0.1429179211
1020	0.1429051115
1021	0.1429014793
1022	0.1428877154
1023	0.142864177
1024	0.1428463088
1025	0.1428422925
1026	0.1428341967
1027	0.1428310376
1028	0.1428246802
1029	0.142815801
1030	0.142801761
1031	0.1427918865
1032	0.1427866561
1033	0.1427852111
1034	0.14278088
1035	0.1427742684
1036	0.1427627207
1037	0.1427602577
1038	0.1427533539
1039	0.1427389479
1040	0.1427235249
1041	0.1427141872
1042	0.1427120146
1043	0.1426994275
1044	0.1426916722
1045	0.1426873675
1046	0.142677802
1047	0.1426737055
1048	0.1426625335
1049	0.1426483222
1050	0.1426405845
1051	0.142625246
1052	0.1426196431
1053	0.1426157485
1054	0.1426073794
1055	0.1426002556
1056	0.1425944262
1057	0.1425878523
1058	0.1425812844
1059	0.1425722441
1060	0.1425677998
1061	0.1425644471
1062	0.1425604238
1063	0.1425510876
1064	0.142546461
1065	0.1425411242
1066	0.1425344218
1067	0.1425195799
1068	0.142516904
1069	0.1425136467
1070	0.1425091253
1071	0.1425072287
1072	0.1425026931
1073	0.1424986475
1074	0.1424910072
1075	0.1424805124
1076	0.1424769279
1077	0.142467132
1078	0.1424628255
1079	0.1424578532
1080	0.1424489681
1081	0.1424462282
1082	0.1424329139
1083	0.142422762
1084	0.1424177156
1085	0.1424069937
1086	0.1423905994
1087	0.142379727
1088	0.1423734678
1089	0.1423550189
1090	0.1423500264
1091	0.1423438727
1092	0.1423409011
1093	0.1423317222
1094	0.1423239868
1095	0.1423193751
1096	0.1423138577
1097	0.1423031865
1098	0.142288999
1099	0.1422797975
1100	0.1422749148
1101	0.1422654793
1102	0.1422591723
1103	0.1422505159
1104	0.1422384403
1105	0.1422332556
1106	0.1422255445
1107	0.1422173046
1108	0.1422158392
1109	0.1422118927
1110	0.1421957229
1111	0.1421921785
1112	0.1421813975
1113	0.1421754056
1114	0.1421648102
1115	0.1421508907
1116	0.1421483458
1117	0.1421372835
1118	0.1421267457
1119	0.1421242804
1120	0.1421203451
1121	0.1421081906
1122	0.1420973164
1123	0.1420925832
1124	0.1420851553
1125	0.142082431
1126	0.1420793113
1127	0.1420741483
1128	0.1420576502
1129	0.1420400983
1130	0.142035557
1131	0.1420280713
1132	0.1420213952
1133	0.1420142441
1134	0.142004687
1135	0.1420004912
1136	0.1419891664
1137	0.1419832735
1138	0.1419646762
1139	0.141956373
1140	0.141953049
1141	0.141949041
1142	0.141938648
1143	0.1419235442
1144	0.1419216327
1145	0.1419124247
1146	0.1419046277
1147	0.1419022271
1148	0.1418976747
1149	0.1418863966
1150	0.1418706764
1151	0.1418639455
1152	0.1418571333
1153	0.1418506824
1154	0.1418425857
1155	0.1418340953
1156	0.1418284084
1157	0.1418168828
1158	0.1418136859
1159	0.1418093019
1160	0.1417975057
1161	0.1417940759
1162	0.1417853019
1163	0.1417739498
1164	0.1417650183
1165	0.1417620457
1166	0.141757755
1167	0.14175278
1168	0.1417415504
1169	0.1417387028
1170	0.1417213551
1171	0.1417188308
1172	0.1417106872
1173	0.1417072663
1174	0.1417042664
1175	0.141702309
1176	0.1416927652
1177	0.1416914919
1178	0.1416894383
1179	0.1416812844
1180	0.1416686883
1181	0.1416662413
1182	0.1416587973
1183	0.1416490863
1184	0.1416432658
1185	0.1416402159
1186	0.1416319614
1187	0.1416250026
1188	0.1416209818
1189	0.1416123349
1190	0.1415956376
1191	0.1415908368
1192	0.1415783926
1193	0.1415749549
1194	0.1415721074
1195	0.1415674305
1196	0.1415634647
1197	0.141558033
1198	0.1415431612
1199	0.1415364394
1200	0.1415329331
1201	0.1415303322
1202	0.1415192749
1203	0.1415103422
1204	0.1415046483
1205	0.1414986795
1206	0.1414929389
1207	0.1414877244
1208	0.1414829186
1209	0.1414808454
1210	0.1414781168
1211	0.1414563617
1212	0.1414518458
1213	0.1414498256
1214	0.1414419211
1215	0.1414273701
1216	0.1414202096
1217	0.1414140373
1218	0.141411977
1219	0.1414087589
1220	0.1414067272
1221	0.1414025143
1222	0.1413962582
1223	0.1413931766
1224	0.1413870322
1225	0.1413741224
1226	0.1413712718
1227	0.1413627417
1228	0.1413586581
1229	0.1413537867
1230	0.1413455864
1231	0.1413328663
1232	0.1413252196
1233	0.141320769
1234	0.141314855
1235	0.1413103188
1236	0.1413071404
1237	0.1412945506
1238	0.1412893721
1239	0.1412800916
1240	0.1412672394
1241	0.1412630393
1242	0.1412562455
1243	0.1412467181
1244	0.141243318
1245	0.1412405672
1246	0.1412362497
1247	0.1412301288
1248	0.1412272993
1249	0.1412170156
1250	0.1412084581
1251	0.1411959819
1252	0.1411932808
1253	0.1411821327
1254	0.1411700205
1255	0.1411638945
1256	0.141158009
1257	0.1411412132
1258	0.1411279182
1259	0.1411253377
